Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
bagaimana kalau aku tidak baik baik saja,judika,pop,"Andai aku bisa memutar waktu
Aku tak ingin mengenalmu
Mengapa ada pertemuan itu
Yang membuat aku mencintaimu
Bagaimana kalau aku tidak baik-baik saja
T'rus mengingatmu.
Memikirkanmu
Semua tentang dirimu
Bagaimana kalau aku tidak baik baik saja
Tak seperti kamu.
Yang mampu tanpaku.
Bagaimana..
Mungkin kini kau bersama yang lain
Walau hatimu untukku
Adakah kesempatan untuk cintaku
Bahagia walau kita berbeda.
Mungkin kamu bukan untukku
Tapi kau selalu dihatiku.
Bagaimana...
Bagaimana kalau aku tidak baik-baik saja
T'rus mengingatmu.
Memikirkanmu.
Semua tentang dirimu
Bagaimana kalau aku tidak baik-baik saja
Tak seperti kamu
yang mampu tanpaku
Tak seperti kamu...
Bagaimana...",2021,sedih
hanya rindu,andmesh,pop,"Saat ku sendiri, ku lihat foto dan video
Bersamamu yang telah lama ku simpan
Hancur hati ini melihat semua gambar diri
Yang tak bisa, ku ulang kembali

Ku ingin saat ini, engkau ada di sini
Tertawa bersamaku, seperti dulu lagi
Walau hanya sebentar, Tuhan tolong kabulkanlah
Bukannya diri ini tak terima kenyataan
Hati ini hanya rindu

Segala cara telah kucoba
Agar aku bisa tanpa dirimu
Namun semua, berbeda
Sulitku menghapus kenangan bersamamu

Ku ingin saat ini, engkau ada di disini
Tertawa bersamaku, seperti dulu lagi
Walau hanya sebentar, Tuhan tolong kabulkanlah
Bukan diri ini tak terima kenyataan
Hati ini hanya rindu
Hanya rindu

Ku ingin saat ini, engkau ada di disini
Tertawa bersamaku, seperti dulu lagi
Walau hanya sebentar, Tuhan tolong kabulkanlah
Bukannya diri ini tak terima kenyataan
Bukannya diri ini tak terima kenyataan
Hati ini hanya rindu
Hati ini hanya rindu
Ku rindu senyummu, Ibu...",2019,sedih
jangan,"marion jola, rayi putra",pop,"Hanya dengan sepatah kata
Kau buatku larut dalam cinta
Buat hati menutup mata
Hingga tak melihat kau buaya
Buatku mudah percaya
Walau ternyata berbahaya
Tersadar aku kini
Tak mau ku dibodohi begini
Namun bukan cinta yang ingin kau miliki, oh, oh
Bila kau hanya main-main saja
Sudah, kau buang waktu, percuma
Hati ini bukan untuk coba-coba (coba)
Cari (cari), enyah, kau pergilah saja, oh, oh
Oh, oh
Oh
Aku tak seperti
Mainan cintamu yang lain
Yang mau saja kau bohongi
Dengan kata indah dan manis janji
Ah
Ternyata engkau berbahaya
Tersadar aku kini
Tak mau ku dibodohi begini
Ho-oh
Namun bukan cinta yang ingin kau miliki, oh, oh
Bila kau hanya main-main saja
Sudah, kau buang waktu, percuma
Hati ini bukan untuk coba-coba (coba)
Cari (cari), enyahlah kau
Jangan ganggu aku lagi
Janganlah kau datang lagi
Janganlah kau datang lagi
Jangan ganggu aku lagi
Jangan ganggu aku lagi
Janganlah kau datang lagi
Janganlah kau datang lagi
Jangan ganggu aku lagi
Hey, hey, hey, Marion
You can carry on if you think I'm bad like Decepticon (yeah)
But I can transform and be liked by every mom
Treat you right everyday 'cause, girl, you're my only one (one)
And when I'm wrong, yeah, you can be my Obi-Wan
Just let me protect you, girl, like I'm Donkey Kong
Promise 'til I'm gone, 'til the break of dawn
You're the one that I belong to (ah)
Just let me love you, ayy (oh-wo-wo, yeay)
Bila kau hanya main-main saja (yeah)
Sudah, kau buang waktu, percuma
Hati ini bukan untuk coba-coba (okay)
Jadi (so), enyahlah saja (yeah, one more time, girl, come on)
Bila kau hanya (main-main saja) main-main saja
Kau buang waktu, percuma (aha)
Hati ini bukan untuk coba-coba (coba)
Cari (so), enyah, kau pergilah saja
Jangan ganggu aku lagi (yeah)
Janganlah kau datang lagi (Marion)
Janganlah kau datang lagi (right)
Jangan ganggu aku lagi (yeah)
Jangan (jangan ganggu)
Jangan (jangan datang lagi)
Jangan (jangan ganggu)
Jangan ganggu aku lagi (jangan)",2018,marah
tak segampang itu,anggi marito,pop,"Waktu demi waktu
Hari demi hari
Sadar ku t'lah sendiri
Kau t'lah pergi jauh
Tinggalkan diriku
Ternyata ku rindu
Senyuman yang s'lalu membungkus hati yang terluka
Di depan mereka
Tuhan masih pantaskah ku ‘tuk bersamanya
Karna hati ini inginkannya
Tak segampang itu ku mencari penggantimu
Tak segampang itu ku menemukan sosok seperti dirimu cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Terlalu besar kutaruh harapan pada dirimu
Itu alasanku lama tanpa dirimu 
Mereka yang bilang ku akan dapat lebih darimu
Tak mungkin
Semua itu tak mudah oh
Ku mencari penggantimu
Tak segampang itu ku menemukan sosok seperti dirimu
cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Ku mencari penggantimu 
Sosok seperti dirimu cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Kau memilih untuk berpisah",2022,sedih
tak ada ujungnya,rony parulian,pop,"Ku temukan satu sisi dalam diri
Warna warni penuhi jiwaku
Meski kadang hati ini pun bertanya
Apa mungkin benar ini nyata
Kau hadir di balik kokohnya tembok hatiku
Kau runtuhkan kerasnya diriku
Kan ku jaga di luas hatiku
Di dalam samudera perasaan
Tak terkira entah sampai kapan
Tak ada ujungnya
Mungkin hanya mati yang memisah
Sejak hari itu ku merasa lagi
Perasaan yang telah lama mati
Tak pernah ku sangka selama ini
Kau sanggup menghidupkan lagi
Kau hadir di balik kokohnya tembok hatiku
Kau runtuhkan kerasnya diriku
Kan ku jaga di luas hatiku
Di dalam samudera perasaan
Tak terkira entah sampai kapan
Tak ada ujungnya
Mungkin hanya mati yang memisah
Kan ku jaga di luas hatiku
Di dalam samudera perasaan
Tak terkira entah sampai kapan
Tak ada ujungnya
Mungkin hanya mati yang memisah oh
Mungkin hanya mati yang memisah
Oh oh oh
Mungkin hanya mati yang memisah",2024,senang
Sorai,nadin amizah,"Folk, Indie Pop","Langit dan laut saling membantu
Mencipta awan, hujan pun turun
Ketika dunia saling membantu
Lihat, cinta mana yang tak jadi satu

Kau memang manusia sedikit kata
Bolehkah aku yang berbicara?
Kau memang manusia tak kasat rasa
Biar aku yang mengemban cinta

Awan dan alam saling bersentuh
Mencipta hangat, kau pun tersenyum
Ketika itu kulihat syahdu
Lihat, hati mana yang tak akan jatuh

Kau memang manusia sedikit kata
Bolehkah aku yang berbicara
Kau memang manusia tak kasat rasa
Biar aku yang mengemban cinta

Kau dan aku saling membantu
Membasuh hati yang pernah pilu
Mungkin akhirnya tak jadi satu
Namun bersorai pernah bertemu",2019,senang
"Untungnya, Hidup harus tetap berjalan",bernadya,Pop,"Persis setahun yang lalu
Ku dijauhkan dari yang tak ditakdirkan untukku
Yang kuingat saat itu
Yang kulakukan hanya menggerutu angkuh
Lebih percaya cara-caraku
Pilih ragukan rencana Sang Maha Penentu
Untungnya, bumi masih berputar
Untungnya, ku tak pilih menyerah
Untungnya, ku bisa rasa
Hal-hal baik yang datangnya belakangan
Ada waktu-waktu
Hal buruk datang berturut-turut
Semua yang tinggal, juga yang hilang
Seberapa pun absurdnya pasti ada makna
Untungnya, bumi masih berputar
Untungnya, ku tak pilih menyerah
Itu memang paling mudah
Untungnya, kupilih yang lebih susah
Untungnya, kupakai akal sehat
Untungnya, hidup terus berjalan
Untungnya, ku bisa rasa
Hal-hal baik yang datangnya belakangan
Untungnya, untungnya
Hidup harus tetap berjalan",2024,tenang
pesan terakhir,lyodra,Pop Ballad,"T'lah kucoba t'rus bertahan
Tentang cinta yang kurasa
Ku mencinta, kau tak cinta
Tak sanggup ku terus bertahan
Sadar ku tak berhak untuk terus memaksamu
Memaksamu mencintaiku sepenuh hati
Aku 'kan berusaha untuk melupakanmu
Tapi terimalah permintaan terakhirku
genggam tanganku, Sayang
Dekat denganku, peluk diriku
Berdiri tegak di depan aku
Cium keningku 'tuk yang terakhir
Ku 'kan menghilang jauh darimu
Tak terlihat sehelai rambut pun
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmu
Ku tak membencimu
Kuharap kau pun begitu, ah (kuharap begitu)
Tak ingin kau jauh
Tapi takdir menginginkan kita 'tuk berpisah
Genggam tanganku, Sayang
Dekat denganku, peluk diriku
Berdiri tegak di depan aku
Cium keningku 'tuk yang terakhir
Ku 'kan menghilang jauh darimu
Tak terlihat sehelai rambut pun
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmu
(Dekat denganku, peluk diriku) 
(Berdiri tegak di depan aku)
(Cium keningku 'tuk) yang terakhir
Ku 'kan menghilang jauh darimu
Tak terlihat sehelai rambut pun
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmu
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmu",2021,sedih
komang,raim laode,Pop,"Dari kejauhan, tergambar cerita tentang kita
Terpisah jarak dan waktu
Ingin kuungkapkan rindu lewat kata indah
Tak cukup untuk dirimu
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu
Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana, tertawamu sudah cukup
Lengkapi sempurnanya hidup bersamamu
Jika hari kulalui tanpa hawamu
Percuma senyumku dengan dia, oh
Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana, tertawamu sudah cukup
Lengkapi sempurnanya hidup bersamamu
Apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana, tertawamu sudah cukup
Lengkapi sempurnanya hidup bersamamu
Hu-uh-uh
Hu, hu-uh-uh
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu",2022,senang
sial,mahalini,Pop,"Sampai saat ini tak terpikir olehku
Aku pernah beri rasa pada orang sepertimu
Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira
Andai ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu
Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu
Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira
Andai ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu
Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu
Sial-sialnya ku bertemu dengan cinta semu (semu)
Tertipu tutur dan caramu
Seolah cintaiku (cintaiku)
Puas kaucurangi aku? (Aku)
Bagaimana dengan aku terlanjur mencintaimu? (Cintaimu)
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu (terpikirkan olehmu)
Hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu",2023,marah
